Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1240000,1.3903173,0.25516272,999.0,5.96822143625468,5.96822143625468,1.0
1250000,1.3895029,0.34536728,999.0,8.071968948468566,8.071968948468566,1.0
1260000,1.3894213,0.34022492,999.0,7.066125188022852,7.066125188022852,1.0
1270000,1.3884145,0.43381414,999.0,12.335877873934805,12.335877873934805,1.0
1280000,1.3884145,0.44384426,999.0,8.795017172582448,8.795017172582448,1.0
1290000,1.3861251,0.6176576,999.0,14.013485406991094,14.013485406991094,1.0
1300000,1.3860747,0.48280248,999.0,7.341904805973172,7.341904805973172,1.0
1310000,1.385294,0.57428426,999.0,11.369860081933439,11.369860081933439,1.0
1320000,1.3851885,0.5382555,999.0,9.294051620177925,9.294051620177925,1.0
1330000,1.384043,0.64832556,999.0,11.010271053761244,11.010271053761244,1.0
1340000,1.3836993,0.5744016,999.0,9.70748059824109,9.70748059824109,1.0
1350000,1.3826034,0.8011786,999.0,13.543804635759443,13.543804635759443,1.0
1360000,1.3821107,0.84310216,999.0,18.428525696974248,18.428525696974248,1.0
1370000,1.380836,0.907282,999.0,16.50429819524288,16.50429819524288,1.0
1380000,1.37987,0.95288354,999.0,19.21655723080039,19.21655723080039,1.0
1390000,1.3787673,1.0057398,999.0,22.19551181048155,22.19551181048155,1.0
1400000,1.3776276,1.0989577,999.0,19.43133206292987,19.43133206292987,1.0
1410000,1.3768846,1.1010864,999.0,14.923877829685807,14.923877829685807,1.0
1420000,1.3756174,1.1751562,999.0,16.25800408050418,16.25800408050418,1.0
1430000,1.3748528,1.3393236,999.0,17.572780302725732,17.572780302725732,1.0
1440000,1.3729216,1.2978693,999.0,21.563713563606143,21.563713563606143,1.0
1450000,1.3725101,1.3704004,999.0,21.752911252900958,21.752911252900958,1.0
1460000,1.3706602,1.3685902,999.0,20.831267775967717,20.831267775967717,1.0
1470000,1.3704313,1.4361608,999.0,25.268332988023758,25.268332988023758,1.0
1480000,1.3677729,1.5018705,999.0,19.67536026588641,19.67536026588641,1.0
1490000,1.3677729,1.5760033,999.0,22.323483556509018,22.323483556509018,1.0
1500000,1.3662047,1.7350203,999.0,27.22617289517075,27.22617289517075,1.0
1510000,1.366173,1.6931026,999.0,24.54388815164566,24.54388815164566,1.0
1520000,1.3654485,1.7826856,999.0,23.753008124651387,23.753008124651387,1.0
1530000,1.3653623,1.9021323,999.0,28.653908662497997,28.653908662497997,1.0
1540000,1.3640102,2.0033112,999.0,30.687553353607655,30.687553353607655,1.0
1550000,1.3636132,2.033425,999.0,30.050971291959286,30.050971291959286,1.0
1560000,1.3634931,2.026399,999.0,27.98469494562596,27.98469494562596,1.0
1570000,1.3634446,2.0798347,999.0,26.715362245216966,26.715362245216966,1.0
1580000,1.3626281,2.1502147,999.0,29.590911522507668,29.590911522507668,1.0
1590000,1.3620058,2.174518,999.0,25.228913962841034,25.228913962841034,1.0
1600000,1.361293,2.1714816,999.0,25.659523616544902,25.659523616544902,1.0
1610000,1.3605112,2.168357,999.0,22.611065104138106,22.611065104138106,1.0
1620000,1.3598901,2.2808754,999.0,21.839166171848774,21.839166171848774,1.0
1630000,1.3588982,2.2345672,999.0,29.23943125572987,29.23943125572987,1.0
1640000,1.3584594,2.202628,999.0,25.47442189604044,25.47442189604044,1.0
1650000,1.3572768,2.2420158,999.0,24.23047387227416,24.23047387227416,1.0
1660000,1.3570886,2.3261247,999.0,25.680950422305614,25.680950422305614,1.0
1670000,1.3562553,2.4895997,999.0,34.06573213636875,34.06573213636875,1.0
1680000,1.356178,2.509909,999.0,32.9692586697638,32.9692586697638,1.0
1690000,1.3553069,2.5457397,999.0,31.585995122790337,31.585995122790337,1.0
1700000,1.3553069,2.494556,999.0,30.34999617934227,30.34999617934227,1.0
1710000,1.3547937,2.5278988,999.0,29.876490756869316,29.876490756869316,1.0
1720000,1.3547853,2.688894,999.0,31.761932319030166,31.761932319030166,1.0
1730000,1.3534842,2.6717303,999.0,32.34391162917018,32.34391162917018,1.0
1740000,1.3533,2.6351,999.0,30.32791930437088,30.32791930437088,1.0
1750000,1.3514942,2.6824648,999.0,25.031059816479683,25.031059816479683,1.0
1760000,1.3509699,2.7646768,999.0,32.97407814115286,32.97407814115286,1.0
1770000,1.3490813,2.8093789,999.0,32.99202862009406,32.99202862009406,1.0
1780000,1.3481668,2.905579,999.0,32.407349944114685,32.407349944114685,1.0
1790000,1.3472836,2.928032,999.0,37.07287999615073,37.07287999615073,1.0
1800000,1.3466835,2.9739268,999.0,33.68662336654961,33.68662336654961,1.0
1810000,1.3464923,2.997204,999.0,34.4537800475955,34.4537800475955,1.0
1820000,1.3462809,2.912325,999.0,32.11642151325941,32.11642151325941,1.0
1830000,1.3460654,3.0293508,999.0,28.10417868103832,28.10417868103832,1.0
1840000,1.3457171,2.9947782,999.0,29.63512156624347,29.63512156624347,1.0
1850000,1.3456787,3.0392137,999.0,31.637466302141547,31.637466302141547,1.0
1860000,1.3455893,3.0109897,999.0,34.57252541184425,34.57252541184425,1.0
1870000,1.3455424,2.9141293,999.0,26.79587171971798,26.79587171971798,1.0
1880000,1.3453261,2.9752634,999.0,28.815065748989582,28.815065748989582,1.0
1890000,1.3452413,3.0503154,999.0,32.102180138230324,32.102180138230324,1.0
1900000,1.3442515,3.075404,999.0,33.69083575159311,33.69083575159311,1.0
1910000,1.3442515,3.0758564,999.0,29.347245141863823,29.347245141863823,1.0
1920000,1.3427984,3.1122146,999.0,35.42966768145561,35.42966768145561,1.0
1930000,1.3427657,3.13216,999.0,34.33573887497187,34.33573887497187,1.0
1940000,1.3415803,3.1917033,999.0,34.20521264523268,34.20521264523268,1.0
1950000,1.3414096,3.1635976,999.0,38.694148037582636,38.694148037582636,1.0
1960000,1.340721,3.0916016,999.0,33.16432623192668,33.16432623192668,1.0
1970000,1.3405374,3.0638902,999.0,27.364483900368214,27.364483900368214,1.0
1980000,1.3394686,3.1926572,999.0,29.894843101501465,29.894843101501465,1.0
1990000,1.3389429,3.1604044,999.0,37.01064011454582,37.01064011454582,1.0
2000000,1.3382424,3.094526,999.0,30.493692175485194,30.493692175485194,1.0
2010000,1.337747,3.2197943,999.0,31.142511104233563,31.142511104233563,1.0
2020000,1.337156,3.3657718,999.0,38.62891826964915,38.62891826964915,1.0
2030000,1.336537,3.3608067,999.0,37.60922934859991,37.60922934859991,1.0
2040000,1.335983,3.2471235,999.0,33.869934502989054,33.869934502989054,1.0
2050000,1.3350506,3.3226156,999.0,35.59236019849777,35.59236019849777,1.0
2060000,1.3346909,3.3578103,999.0,35.883041406050324,35.883041406050324,1.0
2070000,1.333788,3.3625054,999.0,37.97449163533747,37.97449163533747,1.0
2080000,1.3335123,3.4129126,999.0,37.552110019139946,37.552110019139946,1.0
2090000,1.3321382,3.2520308,999.0,33.583946615457535,33.583946615457535,1.0
2100000,1.3320415,3.425981,999.0,32.7289062961936,32.7289062961936,1.0
2110000,1.330971,3.3222415,999.0,39.431590996682644,39.431590996682644,1.0
2120000,1.330971,3.364725,999.0,33.95042546838522,33.95042546838522,1.0
2130000,1.3300542,3.3118312,999.0,29.206845566630363,29.206845566630363,1.0
2140000,1.3300326,3.3336854,999.0,37.484502248466015,37.484502248466015,1.0
2150000,1.3289486,3.3642075,999.0,34.6354701416567,34.6354701416567,1.0
2160000,1.3287944,3.3298683,999.0,36.821739501319826,36.821739501319826,1.0
2170000,1.3276153,3.3879147,999.0,33.8013070509769,33.8013070509769,1.0
2180000,1.3272731,3.3870137,999.0,35.927186127752066,35.927186127752066,1.0
2190000,1.3267909,3.3945222,999.0,33.73141464963555,33.73141464963555,1.0
2200000,1.3265839,3.3658447,999.0,36.06385388923809,36.06385388923809,1.0
2210000,1.3262622,3.2572577,999.0,30.37550749629736,30.37550749629736,1.0
2220000,1.3260148,3.402532,999.0,35.69930610060692,35.69930610060692,1.0
2230000,1.3251909,3.3718295,999.0,35.91729520261288,35.91729520261288,1.0
2240000,1.3243244,3.3487427,999.0,36.31704312749207,36.31704312749207,1.0
2250000,1.3240147,3.4030333,999.0,37.88044336438179,37.88044336438179,1.0
2260000,1.3234918,3.3470643,999.0,36.72397017478943,36.72397017478943,1.0
2270000,1.3233447,3.3866057,999.0,34.363980516791344,34.363980516791344,1.0
2280000,1.3229638,3.3504333,999.0,36.396350126713514,36.396350126713514,1.0
2290000,1.3229913,3.4151194,999.0,35.12396079301834,35.12396079301834,1.0
2300000,1.3231246,3.4312851,999.0,34.460244849324226,34.460244849324226,1.0
2310000,1.3231066,3.4618518,999.0,38.64150724560022,38.64150724560022,1.0
2320000,1.322881,3.3846314,999.0,36.293250031769276,36.293250031769276,1.0
2330000,1.322881,3.537354,999.0,37.51037488132715,37.51037488132715,1.0
2340000,1.3227074,3.5427392,999.0,40.62705064564943,40.62705064564943,1.0
2350000,1.3227023,3.5082798,999.0,37.35605864226818,37.35605864226818,1.0
2360000,1.3222346,3.479413,999.0,35.57462936639786,35.57462936639786,1.0
2370000,1.3221773,3.4941368,999.0,32.749808833003044,32.749808833003044,1.0
2380000,1.3221352,3.5672073,999.0,41.55845959484577,41.55845959484577,1.0
2390000,1.3221223,3.4475493,999.0,35.80666506290436,35.80666506290436,1.0
2400000,1.321989,3.5660298,999.0,36.18466332554817,36.18466332554817,1.0
2410000,1.3219281,3.4999769,999.0,37.11415715236217,37.11415715236217,1.0
2420000,1.3220336,3.5798779,999.0,37.520714327692986,37.520714327692986,1.0
2430000,1.3221155,3.607566,999.0,42.727430529892445,42.727430529892445,1.0
2440000,1.3220408,3.5560088,999.0,35.56345308944583,35.56345308944583,1.0
2450000,1.3219535,3.5598419,999.0,34.41846418753266,34.41846418753266,1.0
2460000,1.3216882,3.6914985,999.0,35.510436840355396,35.510436840355396,1.0
2470000,1.3212574,3.5722718,999.0,42.511977314949036,42.511977314949036,1.0
2480000,1.3210427,3.5814877,999.0,30.587816565297544,30.587816565297544,1.0
2490000,1.3204596,3.659932,999.0,39.83578226715326,39.83578226715326,1.0
2500000,1.3202635,3.5228775,999.0,30.308935597538948,30.308935597538948,1.0
2510000,1.3193837,3.5969849,999.0,35.61570100579411,35.61570100579411,1.0
2520000,1.3193,3.706983,999.0,37.25881050992757,37.25881050992757,1.0
2530000,1.318339,3.774939,999.0,41.49017310142517,41.49017310142517,1.0
2540000,1.318339,3.6426659,999.0,39.78290880471468,39.78290880471468,1.0
2550000,1.3177382,3.791285,999.0,36.221523344516754,36.221523344516754,1.0
2560000,1.3177254,3.7949615,999.0,41.34398952871561,41.34398952871561,1.0
2570000,1.3166435,3.737653,999.0,36.7246290743351,36.7246290743351,1.0
2580000,1.3164928,3.6519318,999.0,37.33460696786642,37.33460696786642,1.0
2590000,1.3153316,3.7281468,999.0,28.75032001361251,28.75032001361251,1.0
2600000,1.314996,3.7024548,999.0,34.746244655456394,34.746244655456394,1.0
2610000,1.3146297,3.715307,999.0,38.84772518463433,38.84772518463433,1.0
